country,date,daily vaccinations,people fully vaccinated
UK,2021-05-15,519423.0,20103658.0
UK,2021-05-16,523318.0,20287403.0
UK,2021-05-17,526019.0,20546452.0
UK,2021-05-18,527852.0,20870453.0
UK,2021-05-19,527455.0,21239471.0
UK,2021-05-20,534775.0,21659783.0
UK,2021-05-21,539471.0,22086466.0
UK,2021-05-22,558583.0,22643417.0
UK,2021-05-23,567645.0,22895556.0
UK,2021-05-24,580439.0,23228511.0
UK,2021-05-25,591300.0,23616498.0
UK,2021-05-26,595543.0,24043956.0
UK,2021-05-27,595836.0,24478052.0
UK,2021-05-28,594987.0,24914003.0
UK,2021-05-29,572131.0,25332851.0
UK,2021-05-30,565376.0,25539173.0
UK,2021-05-31,541563.0,25734719.0
UK,2021-06-01,523413.0,26073284.0
UK,2021-06-02,503156.0,26422303.0
UK,2021-06-03,485770.0,26799944.0
UK,2021-06-04,475421.0,27187975.0
UK,2021-06-05,486081.0,27661353.0
UK,2021-06-06,494091.0,27921294.0
UK,2021-06-07,512715.0,28227362.0
UK,2021-06-08,513173.0,28540844.0
UK,2021-06-09,509035.0,28857102.0
UK,2021-06-10,500570.0,29165140.0
UK,2021-06-11,493107.0,29472332.0
UK,2021-06-12,478467.0,29792658.0
UK,2021-06-13,471064.0,29223423.0
UK,2021-06-14,462841.0,30209707.0
UK,2021-06-15,458615.0,30440373.0
UK,2021-06-16,449697.0,30675207.0
UK,2021-06-17,443640.0,30898467.0
UK,2021-06-18,431224.0,31104144.0
UK,2021-06-19,422951.0,31340507.0
UK,2021-06-20,414051.0,31449915.0
