country,date,daily vaccinations
UK,2021-04-06,336744.0
UK,2021-04-07,319732.0
UK,2021-04-08,309630.0
UK,2021-04-09,338624.0
UK,2021-04-10,381415.0
UK,2021-04-11,404719.0
UK,2021-04-12,426971.0
UK,2021-04-13,443654.0
UK,2021-04-14,437038.0
UK,2021-04-15,437318.0
UK,2021-04-16,448490.0
UK,2021-04-17,456025.0
UK,2021-04-18,462529.0
UK,2021-04-19,478576.0
UK,2021-04-20,488411.0
UK,2021-04-21,498850.0
UK,2021-04-22,500934.0
UK,2021-04-23,496017.0
UK,2021-04-24,504207.0
UK,2021-04-25,509361.0
UK,2021-04-26,512497.0
UK,2021-04-27,517919.0
UK,2021-04-28,526823.0
UK,2021-04-29,534262.0
UK,2021-04-30,529486.0
UK,2021-05-01,503640.0
UK,2021-05-02,492543.0
UK,2021-05-03,464646.0
UK,2021-05-04,448798.0
UK,2021-05-05,441126.0
UK,2021-05-06,440316.0
UK,2021-05-07,444809.0
UK,2021-05-08,458007.0
UK,2021-05-09,461576.0
UK,2021-05-10,482545.0
UK,2021-05-11,496918.0
UK,2021-05-12,510250.0
UK,2021-05-13,514372.0
UK,2021-05-14,516464.0
UK,2021-05-15,519423.0
UK,2021-05-16,523318.0
UK,2021-05-17,526019.0
UK,2021-05-18,527852.0
UK,2021-05-19,527455.0
UK,2021-05-20,534775.0
UK,2021-05-21,539471.0
UK,2021-05-22,558583.0
UK,2021-05-23,567645.0
UK,2021-05-24,580439.0
UK,2021-05-25,591300.0
UK,2021-05-26,595543.0
UK,2021-05-27,595836.0
UK,2021-05-28,594987.0
UK,2021-05-29,572131.0
UK,2021-05-30,565376.0
UK,2021-05-31,541563.0
UK,2021-06-01,523413.0
UK,2021-06-02,503156.0
UK,2021-06-03,485770.0
UK,2021-06-04,475421.0
UK,2021-06-05,486081.0
UK,2021-06-06,494091.0
UK,2021-06-07,512715.0
UK,2021-06-08,513173.0
UK,2021-06-09,509035.0
UK,2021-06-10,500570.0
UK,2021-06-11,493107.0
UK,2021-06-12,478467.0
UK,2021-06-13,471064.0
UK,2021-06-14,462841.0
UK,2021-06-15,458615.0
UK,2021-06-16,449697.0
UK,2021-06-17,443640.0
UK,2021-06-18,431224.0
UK,2021-06-19,422951.0
UK,2021-06-20,414051.0
UK,2020-12-10,0.0
UK,2020-12-11,5265.0
UK,2020-12-12,3692.0
UK,2020-12-13,2831.0
UK,2020-12-14,3543.0
UK,2020-12-15,4296.0
UK,2020-12-16,4770.0
UK,2020-12-17,5096.0
UK,2020-12-18,5552.0
UK,2020-12-19,5727.0
UK,2020-12-20,5929.0
UK,2020-12-21,6479.0
UK,2020-12-22,7113.0
UK,2020-12-23,7533.0
UK,2020-12-24,6928.0
UK,2020-12-25,5721.0
UK,2020-12-26,5244.0
UK,2020-12-27,4951.0
UK,2020-12-28,3836.0
